yearNum,formattedYear,era,isoYear,BC-AD,peopleBorn,peopleDied,events,booksWritten
-4004,4004 BC,,-4003,BC,"adam_78,eve_1231",,"God creates all things,God creates man and woman,Man falls into sin",
-3941,3941 BC,,-3940,BC,,,,
-3939,3939 BC,,-3938,BC,,,,
-3938,3938 BC,,-3937,BC,abel_13,,,
-3880,3880 BC,,-3879,BC,,abel_13,,
-3811,3811 BC,,-3810,BC,,,,
-3769,3769 BC,,-3768,BC,enos_1193,,,
-3706,3706 BC,,-3705,BC,,,,
-3679,3679 BC,,-3678,BC,cainan_534,,,
-3616,3616 BC,,-3615,BC,,,,
-3609,3609 BC,,-3608,BC,mahalaleel_1885,,,
-3546,3546 BC,,-3545,BC,,,,
-3544,3544 BC,,-3543,BC,jared_730,,,
-3481,3481 BC,,-3480,BC,,,,
-3382,3382 BC,,-3381,BC,enoch_1192,,,
-3319,3319 BC,,-3318,BC,,,,
-3317,3317 BC,,-3316,BC,methuselah_2042,,,
-3254,3254 BC,,-3253,BC,,,,
-3130,3130 BC,,-3129,BC,lamech_1809,,,
-3074,3074 BC,,-3073,BC,,adam_78,,
-3067,3067 BC,,-3066,BC,,,,
-3017,3017 BC,,-3016,BC,,enoch_1192,,
-2954,2954 BC,,-2953,BC,,,,
-2948,2948 BC,,-2947,BC,noah_2210,,,
-2899,2899 BC,,-2898,BC,,,,
-2885,2885 BC,,-2884,BC,,,,
-2864,2864 BC,,-2863,BC,,enos_1193,,
-2801,2801 BC,,-2800,BC,,,,
-2769,2769 BC,,-2768,BC,,cainan_534,,
-2714,2714 BC,,-2713,BC,,mahalaleel_1885,,
-2706,2706 BC,,-2705,BC,,,,
-2692,2692 BC,,-2691,BC,,seth_2504,,
-2651,2651 BC,,-2650,BC,,,,
-2629,2629 BC,,-2628,BC,,,,
-2582,2582 BC,,-2581,BC,,jared_730,,
-2448,2448 BC,,-2447,BC,,,,
-2385,2385 BC,,-2384,BC,,,,
-2353,2353 BC,,-2352,BC,,lamech_1809,,
-2348,2348 BC,,-2347,BC,,methuselah_2042,"The Great Flood begins,Water covers the earth",
-2313,2313 BC,,-2312,BC,,,,
-2290,2290 BC,,-2289,BC,,,,
-2285,2285 BC,,-2284,BC,,,,
-2283,2283 BC,,-2282,BC,,,,
-2283,2283 BC,,-2282,BC,,,,
-2250,2250 BC,,-2249,BC,,,,
-2249,2249 BC,,-2248,BC,,,,
-2220,2220 BC,,-2219,BC,,,,
